increment,branch,stress_component,order,directions,direction_pattern,step_factor,step,fd_value,fd_value_normalized,invariant_across_stencil,oti_derivative,reference_classification
1,elastic,1,4,1|1|2|2,mixed,0.5,0.0002,-3.5187301635742188,-3.518730163574219e-09,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|2|2,mixed,0.25,0.0001,19.62353515625,1.9623535156250002e-08,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|2|2,mixed,0.125,5e-05,-495.3896484375,-4.953896484375e-07,False,0.0,expected_zero_independently_supported
1,elastic,1,4,1|1|2|2,mixed,0.0625,2.5e-05,-6401.234375,-6.4012343750000005e-06,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|2|2,mixed,16.0,0.0064,78766.1163610762,7.876611636107621e-05,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|2|2,mixed,8.0,0.0032,-125239.08250715403,-0.00012523908250715402,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|2|2,mixed,4.0,0.0016,451.11406463803723,4.511140646380372e-07,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|2|2,mixed,2.0,0.0008,7.864535301923752,7.864535301923751e-09,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|2|2,mixed,1.0,0.0004,0.019829601049423218,1.9829601049423218e-11,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|2|2,mixed,0.5,0.0002,-0.1124429702758789,-1.1244297027587891e-10,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|2|2,mixed,0.25,0.0001,0.10826301574707031,1.082630157470703e-10,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|2|2,mixed,0.125,5e-05,-5.7463226318359375,-5.746322631835938e-09,False,0.0,expected_zero_independently_supported
1,elastic,2,4,1|1|2|2,mixed,0.0625,2.5e-05,46.66650390625,4.666650390625e-08,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|2|2,mixed,16.0,0.0064,-1010.7172732650602,-1.0107172732650601e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|2|2,mixed,8.0,0.0032,1979.8252140076947,1.9798252140076947e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|2|2,mixed,4.0,0.0016,7498.024669702514,7.498024669702514e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|2|2,mixed,2.0,0.0008,1.2929158341139555,1.2929158341139554e-09,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|2|2,mixed,1.0,0.0004,-0.07463894225656986,-7.463894225656986e-11,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|2|2,mixed,0.5,0.0002,0.7231063842773438,7.231063842773437e-10,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|2|2,mixed,0.25,0.0001,18.781463623046875,1.8781463623046877e-08,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|2|2,mixed,0.125,5e-05,-518.842041015625,-5.18842041015625e-07,False,0.0,expected_zero_independently_supported
1,elastic,3,4,1|1|2|2,mixed,0.0625,2.5e-05,-1200.134765625,-1.2001347656250002e-06,False,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|2|2,mixed,16.0,0.0064,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|2|2,mixed,8.0,0.0032,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|2|2,mixed,4.0,0.0016,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|2|2,mixed,2.0,0.0008,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|2|2,mixed,1.0,0.0004,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|2|2,mixed,0.5,0.0002,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|2|2,mixed,0.25,0.0001,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|2|2,mixed,0.125,5e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,4,1|1|2|2,mixed,0.0625,2.5e-05,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,1,2,1|2,mixed,16.0,0.0064,0.5635058446107424,5.635058446107424e-06,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|2,mixed,8.0,0.0032,-0.7462591530760312,-7.462591530760312e-06,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|2,mixed,4.0,0.0016,-0.05475326946977255,-5.475326946977255e-07,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|2,mixed,2.0,0.0008,2.3463909572640773e-05,2.346390957264077e-10,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|2,mixed,1.0,0.0004,-3.3965648071898613e-09,-3.396564807189862e-14,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|2,mixed,0.5,0.0002,1.9216258806409314e-08,1.9216258806409314e-13,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|2,mixed,0.25,0.0001,1.9295839592814445e-08,1.9295839592814444e-13,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|2,mixed,0.125,5e-05,4.935645847581327e-08,4.935645847581327e-13,False,0.0,expected_zero_independently_supported
1,elastic,1,2,1|2,mixed,0.0625,2.5e-05,3.0432420317083597e-07,3.0432420317083595e-12,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|2,mixed,16.0,0.0064,-0.4610040240779112,-4.610040240779112e-06,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|2,mixed,8.0,0.0032,0.6254966534863691,6.25496653486369e-06,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|2,mixed,4.0,0.0016,0.054947190832550064,5.494719083255007e-07,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|2,mixed,2.0,0.0008,-2.013490218644165e-05,-2.013490218644165e-10,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|2,mixed,1.0,0.0004,1.0095391189679503e-10,1.0095391189679504e-15,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|2,mixed,0.5,0.0002,-6.648122052865801e-10,-6.6481220528658016e-15,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|2,mixed,0.25,0.0001,3.759623723453842e-10,3.759623723453842e-15,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|2,mixed,0.125,5e-05,6.014033715473488e-10,6.014033715473488e-15,False,0.0,expected_zero_independently_supported
1,elastic,2,2,1|2,mixed,0.0625,2.5e-05,-4.723915481008589e-09,-4.723915481008589e-14,False,0.0,expected_zero_independently_supported
1,elastic,3,2,1|2,mixed,16.0,0.0064,-0.10250182042942968,-1.0250182042942968e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,2,1|2,mixed,8.0,0.0032,0.12076249966467878,1.2076249966467877e-06,False,0.0,expected_zero_independently_supported
1,elastic,3,2,1|2,mixed,4.0,0.0016,-0.00019392168639242868,-1.9392168639242866e-09,False,0.0,expected_zero_independently_supported
1,elastic,3,2,1|2,mixed,2.0,0.0008,-3.3276788187208695e-06,-3.3276788187208693e-11,False,0.0,expected_zero_independently_supported
1,elastic,3,2,1|2,mixed,1.0,0.0004,1.1449508008354314e-10,1.1449508008354314e-15,False,0.0,expected_zero_independently_supported
1,elastic,3,2,1|2,mixed,0.5,0.0002,4.663945674110437e-09,4.663945674110437e-14,False,0.0,expected_zero_independently_supported
1,elastic,3,2,1|2,mixed,0.25,0.0001,-2.0954757928848267e-08,-2.0954757928848269e-13,False,0.0,expected_zero_independently_supported
1,elastic,3,2,1|2,mixed,0.125,5e-05,-3.1868694350123405e-08,-3.1868694350123404e-13,False,0.0,expected_zero_independently_supported
1,elastic,3,2,1|2,mixed,0.0625,2.5e-05,1.746739144437015e-07,1.746739144437015e-12,False,0.0,expected_zero_independently_supported
1,elastic,4,2,1|2,mixed,16.0,0.0064,0.0,0.0,True,0.0,expected_zero_independently_supported
1,elastic,4,2,1|2,mixed,8.0,0.0032,0.0,0.0,True,0.0,expected_zero_independently_supported
