model,increment,array,component,parameter,props_index,oti_direction,oti,reference,absolute_error,relative_error,judged_by,agrees,branch,branch_crossing
m3_j2,8,DSIGMA_DP,5,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,6,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,6,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,6,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,8,DSIGMA_DP,6,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,1,E,1,1,0.001211538461538461,0.0012115384615388588,3.9790219730218013e-16,3.28427210471533e-13,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,1,nu,2,2,712.9437869822484,712.9438046599527,1.7677704249763337e-05,2.4795368350518085e-08,relative,True,elastic,False
m3_j2,9,DSIGMA_DP,1,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,1,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,2,E,1,1,0.0005192307692307692,0.0005192307692310362,2.669305748659312e-16,5.14088514556344e-13,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,2,nu,2,2,824.7781065088757,824.7781242459951,1.7737119378580246e-05,2.1505322288700814e-08,relative,True,elastic,False
m3_j2,9,DSIGMA_DP,2,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,2,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,3,E,1,1,0.0005192307692307692,0.0005192307692310362,2.669305748659312e-16,5.14088514556344e-13,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,3,nu,2,2,824.7781065088757,824.7781242459951,1.7737119378580246e-05,2.1505322288700814e-08,relative,True,elastic,False
m3_j2,9,DSIGMA_DP,3,SIGY0,3,3,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,3,H,4,4,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,4,E,1,1,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
m3_j2,9,DSIGMA_DP,4,nu,2,2,0.0,0.0,0.0,,within_reference_resolution,True,elastic,False
