increment,stress_component,method,E,NU,SIGY0,H
16,1,oti,  2.007189508507235E-03,  1.998893921768117E+03,  6.609385327164573E-01,  3.385508016227720E-04
16,2,oti,  1.996405245746382E-03,  2.000553039115940E+03, -3.304692663582287E-01, -1.692754008113860E-04
16,3,oti,  1.996405245746382E-03,  2.000553039115940E+03, -3.304692663582287E-01, -1.692754008113860E-04
16,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
16,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
16,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
17,1,oti,  2.132195187423908E-03,  2.123893048088629E+03,  6.609385327164573E-01,  4.040767632271797E-04
17,2,oti,  2.121402406288046E-03,  2.125553475955684E+03, -3.304692663582287E-01, -2.020383816135898E-04
17,3,oti,  2.121402406288046E-03,  2.125553475955684E+03, -3.304692663582287E-01, -2.020383816135898E-04
17,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
17,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
17,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
18,1,oti,  2.257200866340580E-03,  2.248892174409141E+03,  6.609385327164575E-01,  4.696027248315868E-04
18,2,oti,  2.246399566829710E-03,  2.250553912795428E+03, -3.304692663582288E-01, -2.348013624157934E-04
18,3,oti,  2.246399566829710E-03,  2.250553912795428E+03, -3.304692663582288E-01, -2.348013624157934E-04
18,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
18,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
18,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
19,1,oti,  2.382206545257253E-03,  2.373891300729653E+03,  6.609385327164573E-01,  5.351286864359941E-04
19,2,oti,  2.371396727371374E-03,  2.375554349635172E+03, -3.304692663582287E-01, -2.675643432179971E-04
19,3,oti,  2.371396727371374E-03,  2.375554349635172E+03, -3.304692663582287E-01, -2.675643432179971E-04
19,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
19,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
19,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
20,1,oti,  2.507212224173925E-03,  2.498890427050165E+03,  6.609385327164573E-01,  6.006546480404019E-04
20,2,oti,  2.496393887913038E-03,  2.500554786474916E+03, -3.304692663582287E-01, -3.003273240202009E-04
20,3,oti,  2.496393887913038E-03,  2.500554786474916E+03, -3.304692663582287E-01, -3.003273240202009E-04
20,4,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
20,5,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
20,6,oti,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00,  0.000000000000000E+00
