increment,array,row,parameter,oti,fd,abs_diff,rel_diff
7,DSIGMA_DP,1,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,2,E,6.0576923077e-04,6.0576923083e-04,6.077e-14,6.077e-14
7,DSIGMA_DP,2,NU,9.1642011834e+02,9.1642011835e+02,6.805e-09,7.426e-12
7,DSIGMA_DP,2,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,2,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,3,E,6.0576923077e-04,6.0576923083e-04,6.077e-14,6.077e-14
7,DSIGMA_DP,3,NU,9.1642011834e+02,9.1642011835e+02,6.805e-09,7.426e-12
7,DSIGMA_DP,3,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,3,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,4,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,4,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,4,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,4,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,5,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,5,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,5,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,5,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,6,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,6,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,6,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
7,DSIGMA_DP,6,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,1,E,1.6153846154e-03,1.6153846154e-03,1.538e-14,1.538e-14
8,DSIGMA_DP,1,NU,9.0532544379e+02,9.0532544380e+02,1.302e-08,1.438e-11
8,DSIGMA_DP,1,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,1,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,2,E,6.9230769231e-04,6.9230769242e-04,1.123e-13,1.123e-13
8,DSIGMA_DP,2,NU,1.0473372781e+03,1.0473372781e+03,6.508e-09,6.214e-12
8,DSIGMA_DP,2,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,2,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,3,E,6.9230769231e-04,6.9230769242e-04,1.123e-13,1.123e-13
8,DSIGMA_DP,3,NU,1.0473372781e+03,1.0473372781e+03,6.508e-09,6.214e-12
8,DSIGMA_DP,3,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,3,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,4,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
8,DSIGMA_DP,4,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
